intersection_id,approach_id,lat,lon,dis_to_ref
4,WE,44.746696799999995,-93.4287849,1500
4,WE,44.7466953,-93.4287717,1523.1358702237683
4,WE,44.7466954,-93.42875699999999,1522.080160603488
4,WE,44.7466955,-93.42874119999999,1520.9191965230693
4,WE,44.746695599999995,-93.4287255,1519.6713652743902
4,WE,44.7466959,-93.4287098,1518.4314310655209
4,WE,44.7466961,-93.42869379999999,1517.1910980540088
4,WE,44.7466965,-93.4286784,1515.9273259679555
4,WE,44.746696899999996,-93.428662,1514.7103206507757
4,WE,44.7466973,-93.4286451,1513.4143913638395
4,WE,44.746697499999996,-93.4286286,1512.0789978990442
4,WE,44.7467003,-93.4286178,1510.7757450113054
4,WE,44.7467007,-93.4286005,1509.8677810588647
4,WE,44.746700999999995,-93.4285838,1508.5008153877425
4,WE,44.7467015,-93.428567,1507.181535824919
4,WE,44.7467013,-93.4285495,1505.8536163376004
4,WE,44.746700999999995,-93.4285318,1504.4714008646706
4,WE,44.746701099999996,-93.42851499999999,1503.0731716150437
4,WE,44.7467018,-93.4284969,1501.7463699173215
4,WE,44.746702299999995,-93.4284792,1500.314831601963
4,WE,44.7467019,-93.4284608,1498.9158951261
4,WE,44.7467026,-93.4284467,1497.4621018737814
4,WE,44.7467028,-93.4284279,1496.3458581919072
4,WE,44.746702899999995,-93.4284096,1494.8609895506347
4,WE,44.7467036,-93.4283912,1493.4157314404579
4,WE,44.7467039,-93.4283725,1491.9605355913097
4,WE,44.7467039,-93.42835319999999,1490.483354167477
4,WE,44.746704199999996,-93.4283339,1488.9591653457676
4,WE,44.7467043,-93.4283147,1487.4346115301305
4,WE,44.7467046,-93.4282956,1485.9182792986546
4,WE,44.7467046,-93.428276,1484.4095163742186
4,WE,44.7467026,-93.42825599999999,1482.8616355173208
4,WE,44.746702899999995,-93.428236,1481.2665857866205
4,WE,44.7467031,-93.4282161,1479.686763247754
4,WE,44.7467034,-93.42819589999999,1478.1150329520729
4,WE,44.7467037,-93.4281757,1476.5194192091828
4,WE,44.746704,-93.4281556,1474.9238054757088
4,WE,44.7467044,-93.4281354,1473.336087366795
4,WE,44.746704199999996,-93.4281147,1471.7402024614712
4,WE,44.7467046,-93.428095,1470.1052994698466
4,WE,44.7467051,-93.42807429999999,1468.5488855986848
4,WE,44.7467074,-93.4280517,1466.9131887298852
4,WE,44.746707699999995,-93.4280308,1465.110157102668
4,WE,44.7467079,-93.4280101,1463.4592737009982
4,WE,44.7467081,-93.4279888,1461.8243708083467
4,WE,44.746708299999995,-93.42796779999999,1460.1420880773526
4,WE,44.7467086,-93.42794669999999,1458.4834953045338
4,WE,44.746708299999995,-93.4279251,1456.8168204210506
4,WE,44.746708999999996,-93.42790389999999,1455.1106665106831
4,WE,44.746708999999996,-93.4278823,1453.434619792391
4,WE,44.7467092,-93.427861,1451.7287920395365
4,WE,44.746711,-93.42783709999999,1450.04650934055
4,WE,44.7467113,-93.4278142,1448.1484600183694
4,WE,44.7467111,-93.427793,1446.3396591440787
4,WE,44.7467112,-93.42777099999999,1444.6652731627978
4,WE,44.746711399999995,-93.42774879999999,1442.927820489273
4,WE,44.7467117,-93.4277262,1441.1744676594963
4,WE,44.7467119,-93.4277042,1439.38935476564
4,WE,44.746711399999995,-93.42768149999999,1437.65179536976
4,WE,44.7467118,-93.4276592,1435.8582349181447
4,WE,44.7467119,-93.4276369,1434.09656421876
4,WE,44.7467142,-93.427616,1432.3354199942735
