intersection_id,approach_id,lat,lon,dis_to_ref
1,SWNE,44.7718491,-93.43163559999999,1348.0173072112655
1,SWNE,44.7718525,-93.43163349999999,1347.6044974834701
1,SWNE,44.7718554,-93.43163109999999,1347.2304966000934
1,SWNE,44.7718589,-93.43162869999999,1346.7976506532152
1,SWNE,44.7718621,-93.4316262,1346.3907640314774
1,SWNE,44.7718652,-93.43162339999999,1345.9812825210095
1,SWNE,44.7718683,-93.4316202,1345.553929706269
1,SWNE,44.7718713,-93.4316169,1345.1306820339594
1,SWNE,44.771874499999996,-93.4316133,1344.6753038426248
1,SWNE,44.771877499999995,-93.4316097,1344.2370829595864
1,SWNE,44.7718814,-93.4316059,1343.7097857415995
1,SWNE,44.7718845,-93.431601,1343.1916771336148
1,SWNE,44.7718874,-93.43159659999999,1342.7177326062183
1,SWNE,44.7718902,-93.43159159999999,1342.2150192327815
1,SWNE,44.771892799999996,-93.4315865,1341.7193772671421
1,SWNE,44.7718956,-93.4315814,1341.2104426935225
1,SWNE,44.7718981,-93.43157629999999,1340.7212033549724
1,SWNE,44.7719008,-93.4315709,1340.1998178524505
1,SWNE,44.7719033,-93.4315646,1339.6300807579914
1,SWNE,44.771905499999995,-93.431559,1339.1248488508154
1,SWNE,44.771908599999996,-93.4315537,1338.5827599055585
1,SWNE,44.771910399999996,-93.4315465,1337.980186305879
1,SWNE,44.7719127,-93.43154,1337.4068776105762
1,SWNE,44.7719149,-93.4315328,1336.788106414146
1,SWNE,44.7719175,-93.4315256,1336.150440948997
1,SWNE,44.7719197,-93.4315183,1335.5244112100092
1,SWNE,44.7719217,-93.43151089999999,1334.8993613654682
1,SWNE,44.7719241,-93.4315036,1334.2643114853358
1,SWNE,44.7719265,-93.4314959,1333.6004767443042
1,SWNE,44.7719287,-93.431488,1332.9305937315914
1,SWNE,44.771932299999996,-93.431482,1332.3104559394483
1,SWNE,44.771934599999994,-93.4314734,1331.585004731783
1,SWNE,44.771937099999995,-93.4314648,1330.8514182298768
1,SWNE,44.771939599999996,-93.43145609999999,1330.1105205393233
1,SWNE,44.7719418,-93.43144749999999,1329.3889144147302
1,SWNE,44.771944399999995,-93.4314382,1328.5999062414037
1,SWNE,44.771947,-93.4314291,1327.8255662559873
1,SWNE,44.7719497,-93.4314199,1327.039717125367
1,SWNE,44.771952,-93.43141,1326.2174376268679
1,SWNE,44.7719546,-93.43140029999999,1325.3989682617014
1,SWNE,44.7719564,-93.4313902,1324.5769450843277
1,SWNE,44.7719564,-93.4313902,1324.5769450843277
1,SWNE,44.771961399999995,-93.4313689,1322.8060085255554
1,SWNE,44.771963899999996,-93.4313586,1321.946728305898
1,SWNE,44.771963899999996,-93.4313586,1321.946728305898
1,SWNE,44.7719664,-93.4313481,1321.072494403279
1,SWNE,44.771969,-93.4313373,1320.1722671698096
1,SWNE,44.7719715,-93.4313265,1319.2755491491105
1,SWNE,44.771976699999996,-93.4313042,1317.4226796385556
1,SWNE,44.7719792,-93.4312929,1316.4883565867967
1,SWNE,44.7719822,-93.431282,1315.565520275105
1,SWNE,44.7719822,-93.431282,1315.565520275105
1,SWNE,44.7719848,-93.4312697,1314.5524431179651
1,SWNE,44.771987499999994,-93.4312575,1313.5436758044095
1,SWNE,44.7719901,-93.4312456,1312.5608199691142
1,SWNE,44.7719929,-93.4312334,1311.5486877183341
1,SWNE,44.7719956,-93.4312209,1310.517287893467
1,SWNE,44.7719981,-93.4312084,1309.492140768804
1,SWNE,44.772000899999995,-93.4311955,1308.4272950593631
1,SWNE,44.7720037,-93.4311826,1307.3624493969035
1,SWNE,44.7720063,-93.4311694,1306.2810918013495
1,SWNE,44.7720098,-93.4311558,1305.1391573295496
1,SWNE,44.7720124,-93.43114179999999,1303.9968227446918
1,SWNE,44.7720151,-93.43112819999999,1302.8820639707062
1,SWNE,44.772017999999996,-93.4311142,1301.7308345475003
1,SWNE,44.7720208,-93.43110039999999,1300.597858340347
1,SWNE,44.7720237,-93.4310859,1299.4086881607
1,SWNE,44.7720266,-93.431072,1298.265034650883
1,SWNE,44.7720292,-93.4310575,1297.0844736197166
1,SWNE,44.7720323,-93.4310431,1295.896637813518
1,SWNE,44.7720349,-93.4310285,1294.7084217905747
1,SWNE,44.772037399999995,-93.43101399999999,1293.5305346251312
1,SWNE,44.7720403,-93.43099889999999,1292.2957092443633
1,SWNE,44.7720432,-93.4309835,1291.038008797647
1,SWNE,44.7720462,-93.4309686,1289.8154294380681
1,SWNE,44.7720492,-93.4309533,1288.562443077774
1,SWNE,44.772051999999995,-93.4309377,1287.2922475610083
1,SWNE,44.7720553,-93.43092209999999,1286.0072932254125
1,SWNE,44.7720582,-93.4309064,1284.7266886438365
1,SWNE,44.772061,-93.43089049999999,1283.4335210655952
1,SWNE,44.7720641,-93.4308744,1282.1166886336823
1,SWNE,44.7720681,-93.43085819999999,1280.7627378789552
1,SWNE,44.7720711,-93.4308416,1279.4105590909764
1,SWNE,44.772073999999996,-93.43082509999999,1278.0687444183268
1,SWNE,44.7720771,-93.4308087,1276.7290420259105
1,SWNE,44.772079999999995,-93.4307915,1275.3335265005253
1,SWNE,44.7720828,-93.4307747,1273.971296886461
1,SWNE,44.7720858,-93.4307572,1272.5501612850753
1,SWNE,44.7720888,-93.43073989999999,1271.1443675283822
1,SWNE,44.7720917,-93.4307224,1269.7258009771335
1,SWNE,44.7720945,-93.4307046,1268.2866091641245
1,SWNE,44.7720973,-93.4306878,1266.9243798743862
1,SWNE,44.7721002,-93.43066909999999,1265.4134133837222
1,SWNE,44.772103099999995,-93.4306515,1263.9871587456378
1,SWNE,44.772105599999996,-93.430633,1262.5005682620783
1,SWNE,44.7721081,-93.43061469999999,1261.0294841502425
1,SWNE,44.772110999999995,-93.4305961,1259.5262290018136
1,SWNE,44.7721133,-93.43057759999999,1258.0436363557892
1,SWNE,44.772115799999995,-93.4305588,1256.5337757256552
1,SWNE,44.7721181,-93.43054,1255.0278510249561
1,SWNE,44.7721203,-93.4305213,1253.5315630858881
1,SWNE,44.772121999999996,-93.4305023,1252.0198609340491
1,SWNE,44.772124299999994,-93.4304832,1250.4905934754072
1,SWNE,44.7721263,-93.43046419999999,1248.9743588424712
1,SWNE,44.7721285,-93.4304449,1247.4313256946145
1,SWNE,44.772130399999995,-93.430426,1245.9244984594188
1,SWNE,44.772132299999996,-93.4304063,1244.355119089538
1,SWNE,44.7721343,-93.4303874,1242.8466927234463
1,SWNE,44.7721361,-93.4303679,1241.2944289316129
1,SWNE,44.772138,-93.4303484,1239.740692300272
1,SWNE,44.7721398,-93.4303286,1238.1649417096685
1,SWNE,44.7721422,-93.4303087,1236.5715534400588
1,SWNE,44.7721435,-93.4302883,1234.9547280015781
1,SWNE,44.772145099999996,-93.4302689,1233.4130164396995
1,SWNE,44.7721467,-93.43024899999999,1231.8320926701124
1,SWNE,44.772148,-93.4302292,1230.2624352162986
1,SWNE,44.7721496,-93.4302092,1228.6736675482416
1,SWNE,44.7721508,-93.4301893,1227.0971297069696
1,SWNE,44.772152399999996,-93.4301693,1225.5083621160882
1,SWNE,44.7721537,-93.43014939999999,1223.9308443181208
1,SWNE,44.772154799999996,-93.4301291,1222.3237266763886
1,SWNE,44.7721549,-93.4301089,1220.729125462769
1,SWNE,44.7721563,-93.4300885,1219.1112683251556
1,SWNE,44.7721571,-93.4300684,1217.522108122911
1,SWNE,44.7721583,-93.4300482,1215.9219725843732
1,SWNE,44.7721593,-93.4300276,1214.2920374506405
1,SWNE,44.7721607,-93.4300071,1212.666323012396
1,SWNE,44.772161399999995,-93.4299867,1211.0540929761103
1,SWNE,44.772162099999996,-93.4299664,1209.449747581052
1,SWNE,44.7721629,-93.4299454,1207.7896493153105
1,SWNE,44.772163899999995,-93.4299245,1206.1360870766862
1,SWNE,44.7721643,-93.429904,1204.5172321413095
1,SWNE,44.7721647,-93.4298827,1202.8352491853216
