intersection_id,approach_id,lat,lon,dis_to_ref
4,SN,44.740991799999996,-93.4085147,643.2307242015837
4,SN,44.740991799999996,-93.4085147,643.2307242015837
4,SN,44.7409952,-93.40850569999999,642.4256072251087
4,SN,44.7409952,-93.40850569999999,642.4256072251087
4,SN,44.740997899999996,-93.4084968,641.6612437154447
4,SN,44.740997899999996,-93.4084968,641.6612437154447
4,SN,44.7410012,-93.4084883,640.8961644779325
4,SN,44.7410012,-93.4084883,640.8961644779325
4,SN,44.7410048,-93.4084798,640.1145377688598
4,SN,44.7410048,-93.4084798,640.1145377688598
4,SN,44.741008099999995,-93.40847079999999,639.3145821263871
4,SN,44.741008099999995,-93.40847079999999,639.3145821263871
4,SN,44.7410109,-93.4084625,638.5888582784852
4,SN,44.7410109,-93.4084625,638.5888582784852
4,SN,44.741014199999995,-93.40845379999999,637.8098814433099
4,SN,44.741014199999995,-93.40845379999999,637.8098814433099
4,SN,44.741017199999995,-93.40844589999999,637.1023539933724
4,SN,44.741017199999995,-93.40844589999999,637.1023539933724
4,SN,44.7410206,-93.40843699999999,636.3042018747183
4,SN,44.7410206,-93.40843699999999,636.3042018747183
4,SN,44.741023899999995,-93.4084286,635.5460438470634
4,SN,44.741023899999995,-93.4084286,635.5460438470634
4,SN,44.7410268,-93.4084201,634.8012738526825
4,SN,44.7410268,-93.4084201,634.8012738526825
4,SN,44.7410298,-93.4084115,634.0445412100528
4,SN,44.7410298,-93.4084115,634.0445412100528
4,SN,44.741032999999995,-93.4084025,633.2496249936312
4,SN,44.741032999999995,-93.4084025,633.2496249936312
4,SN,44.741036199999996,-93.4083938,632.4758241497959
4,SN,44.741036199999996,-93.4083938,632.4758241497959
4,SN,44.7410387,-93.40838579999999,631.7855260803316
4,SN,44.7410387,-93.40838579999999,631.7855260803316
4,SN,44.741041599999996,-93.4083775,631.0549630748078
4,SN,44.741041599999996,-93.4083775,631.0549630748078
4,SN,44.741044699999996,-93.408369,630.3002980880508
4,SN,44.741044699999996,-93.408369,630.3002980880508
4,SN,44.7410473,-93.408361,629.6054476694296
4,SN,44.7410473,-93.408361,629.6054476694296
4,SN,44.7410504,-93.4083529,628.8787437459854
4,SN,44.7410504,-93.4083529,628.8787437459854
4,SN,44.741053199999996,-93.4083454,628.2095459390147
4,SN,44.7410557,-93.4083374,627.5192480396063
4,SN,44.741058599999995,-93.4083294,626.8098693929363
4,SN,44.7410612,-93.4083223,626.1789636682314
4,SN,44.7410636,-93.40831449999999,625.5075916537306
