timestamp,a_cal,d_cal,c_cal,T_cal,J_final
2026-05-17 10:08:32.285518,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:33.285518,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:34.285518,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:35.285523,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:36.286663,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:37.286963,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:38.286963,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:39.286963,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:40.286963,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:41.286963,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:42.287519,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:43.287746,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:44.287746,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:45.295672,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:46.295672,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:47.295672,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:48.295672,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:49.301612,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:50.305484,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:51.305484,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:52.307730,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:53.312053,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:54.312053,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:55.312170,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:56.312170,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:57.312170,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:58.312170,1.2,0.1,0.9,0.863,10000
2026-05-17 10:08:59.312170,1.2,0.1,0.9,0.863,10000
2026-05-17 10:09:00.318741,1.2,0.1,0.9,0.863,10000
2026-05-17 10:09:01.318742,1.2,0.1,0.9,0.863,10000
2026-05-17 10:09:02.318758,1.2,0.1,0.9,0.863,10000
2026-05-17 10:09:03.318758,1.2,0.1,0.9,0.863,10000
2026-05-17 10:09:04.318758,1.2,0.1,0.9,0.863,10000
2026-05-17 10:09:05.324034,1.2,0.1,0.9,0.863,10000
2026-05-17 10:09:06.324038,1.2,0.1,0.9,0.863,10000
2026-05-17 10:09:07.324053,1.2,0.1,0.9,0.863,10000
2026-05-17 10:09:08.324053,1.2,0.1,0.9,0.863,10000
2026-05-17 10:09:09.324053,1.2,0.1,0.9,0.863,10000
2026-05-17 10:09:10.324053,1.2,0.1,0.9,0.863,10000
