timestamp,a_cal,d_cal,c_cal,T_cal,J_final
2026-05-17 10:28:53.982952,1.2,0.1,0.9,0.863,10000
2026-05-17 10:28:54.991321,1.2,0.1,0.9,0.863,10000
2026-05-17 10:28:55.991724,1.2,0.1,0.9,0.863,10000
2026-05-17 10:28:56.991733,1.2,0.1,0.9,0.863,10000
2026-05-17 10:28:57.991733,1.2,0.1,0.9,0.863,10000
2026-05-17 10:28:58.991834,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:00.011292,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:01.011693,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:02.014117,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:03.014117,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:04.014117,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:05.014117,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:06.014119,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:07.014119,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:08.014119,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:09.014242,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:10.014242,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:11.016074,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:12.016822,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:13.016822,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:14.018834,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:15.018834,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:16.018834,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:17.018834,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:18.018834,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:19.018838,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:20.018838,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:21.019102,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:22.020378,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:23.020378,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:24.020424,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:25.020424,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:26.021624,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:27.023876,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:28.024241,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:29.024343,1.2,0.1,0.9,0.863,10000
2026-05-17 10:29:30.024343,1.2,0.1,0.9,0.863,10000
