timestamp,a_cal,d_cal,c_cal,T_cal,J_final
2026-05-14 10:32:15.827827,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:16.827827,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:17.830491,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:18.843191,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:19.843872,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:31.518632,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:32.518632,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:33.520860,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:34.520861,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:35.520861,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:36.520912,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:37.520913,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:38.520913,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:39.520916,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:40.520916,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:41.520923,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:42.520926,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:43.520950,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:44.530047,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:45.530055,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:46.530055,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:47.530055,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:48.530055,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:49.534794,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:50.534794,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:51.534798,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:52.534801,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:53.534803,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:54.534803,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:55.534817,1.2,0.04,0.606,0.863,10000
2026-05-14 10:32:56.535620,1.2,0.04,0.606,0.863,10000
