timestamp,a_cal,d_cal,c_cal,T_cal,J_final
47:07.9,1.2,0.04,0.606,0.863,10000
47:08.9,1.2,0.04,0.606,0.863,10000
47:09.9,1.2,0.04,0.606,0.863,10000
47:10.9,1.2,0.04,0.606,0.863,10000
47:11.9,1.2,0.04,0.606,0.863,10000
47:12.9,1.2,0.04,0.606,0.863,10000
47:13.9,1.2,0.04,0.606,0.863,10000
47:14.9,1.2,0.04,0.606,0.863,10000
47:15.9,1.2,0.04,0.606,0.863,10000
21:38.6,1.2,0.04,0.606,0.863,10000
21:39.6,1.2,0.04,0.606,0.863,10000
21:40.6,1.2,0.04,0.606,0.863,10000
21:41.6,1.2,0.04,0.606,0.863,10000
21:42.6,1.2,0.04,0.606,0.863,10000
21:43.6,1.2,0.04,0.606,0.863,10000
21:44.6,1.2,0.04,0.606,0.863,10000
21:45.6,1.2,0.04,0.606,0.863,10000
21:46.6,1.2,0.04,0.606,0.863,10000
21:47.6,0.64,0.082,0.4618,0.6089,3.386247745
21:48.6,0.64,0.082,0.4618,0.6089,3.386247745
21:49.6,0.64,0.082,0.4618,0.6089,3.386247745
21:50.6,0.64,0.082,0.4618,0.6089,3.386247745
21:51.6,0.64,0.082,0.4618,0.6089,3.386247745
21:52.6,0.64,0.082,0.4618,0.6089,3.386247745
21:53.6,0.64,0.082,0.4618,0.6089,3.386247745
21:54.6,0.64,0.082,0.4618,0.6089,3.386247745
21:55.6,0.64,0.082,0.4618,0.6089,3.386247745
21:56.6,0.64,0.082,0.4618,0.6089,3.386247745
21:57.6,0.64,0.082,0.4618,0.6089,3.386247745
21:58.6,0.472,0.0946,0.41854,0.53267,3.23729746
21:59.6,0.472,0.0946,0.41854,0.53267,3.23729746
22:00.6,0.472,0.0946,0.41854,0.53267,3.23729746
22:01.6,0.472,0.0946,0.41854,0.53267,3.23729746
22:02.6,0.472,0.0946,0.41854,0.53267,3.23729746
22:03.6,0.472,0.0946,0.41854,0.53267,3.23729746
22:04.7,0.472,0.0946,0.41854,0.53267,3.23729746
22:05.7,0.472,0.0946,0.41854,0.53267,3.23729746
22:06.7,0.472,0.0946,0.41854,0.53267,3.23729746
