ref_file,intersection,approach,ff_speed,cum_dist
2402,ref_5_NESW.csv,5,NESW,13.4112,-35.32
2423,ref_1_SENW.csv,1,SENW,17.8816,401.79
2433,ref_5_SENW.csv,5,SENW,22.352,-35.08
2443,ref_5_SWNE.csv,5,SWNE,13.4112,102.09
211,ref_5_NWSE.csv,5,NWSE,22.352,244.98
251,ref_1_SENW.csv,1,SENW,17.8816,120.77
321,ref_5_NWSE.csv,5,NWSE,22.352,258.52
381,ref_5_SWNE.csv,5,SWNE,13.4112,-149.66
442,ref_5_NESW.csv,5,NESW,13.4112,132.1
492,ref_5_SWNE.csv,5,SWNE,13.4112,-35.25
553,ref_5_NESW.csv,5,NESW,13.4112,9.56
573,ref_5_NWSE.csv,5,NWSE,22.352,-65.68
583,ref_2_NS.csv,2,NS,24.5872,584.19
603,ref_5_SWNE.csv,5,SWNE,13.4112,-0.67
614,ref_5_SENW.csv,5,SENW,22.352,276.68
734,ref_4_EW.csv,4,EW,24.5872,214.97
744,ref_4_4218_NS.csv,4,NS,22.352,1168.27
913,ref_3_SN.csv,3,SN,24.5872,-17.82
923,ref_4_4218_NS.csv,4,NS,22.352,0.09
993,ref_4_4218_WE.csv,4,WE,24.5872,569.09
1003,ref_4_4218_NS.csv,4,NS,22.352,0.13
1073,ref_3_SN.csv,3,SN,24.5872,-17.82
1104,ref_4_4218_WE.csv,4,WE,24.5872,1511.48
1114,ref_3_EW.csv,3,EW,24.5872,671.37
1282,ref_3_SN.csv,3,SN,24.5872,-17.82
1312,ref_2_WE.csv,2,WE,24.5872,-129.51
1322,ref_3_EW.csv,3,EW,24.5872,-0.02
1342,ref_2_WE.csv,2,WE,24.5872,-129.51
1363,ref_3_EW.csv,3,EW,24.5872,27.17
1383,ref_2_SN.csv,2,SN,24.5872,1631.78
1593,ref_2_WE.csv,2,WE,24.5872,-38.84
1603,ref_2_EW.csv,2,EW,24.5872,0.47
1633,ref_2_WE.csv,2,WE,24.5872,-38.84
1684,ref_1_SWNE.csv,1,SWNE,24.5872,1302.4
1868,ref_5_NWSE.csv,5,NWSE,22.352,323.45
1924,ref_5_NESW.csv,5,NESW,13.4112,-39.32
1944,ref_5_SWNE.csv,5,SWNE,13.4112,99.37
1954,ref_1_SENW.csv,1,SENW,17.8816,401.79
1974,ref_5_SENW.csv,5,SENW,22.352,-114.51
1995,ref_5_SWNE.csv,5,SWNE,13.4112,129.32
2005,ref_1_SENW.csv,1,SENW,17.8816,181.17
2045,ref_1_SWNE.csv,1,SWNE,24.5872,70.98
11,ref_5_NWSE.csv,5,NWSE,22.352,312.66
41,ref_5_NESW.csv,5,NESW,13.4112,-69.91
62,ref_1_SENW.csv,1,SENW,17.8816,401.79
82,ref_5_SWNE.csv,5,SWNE,13.4112,129.34
182,ref_1_SENW.csv,1,SENW,17.8816,-73.86
193,ref_2_EW.csv,2,EW,24.5872,610.64
433,ref_1_SWNE.csv,1,SWNE,24.5872,1334.57
701,ref_5_NWSE.csv,5,NWSE,22.352,326.6
802,ref_5_NESW.csv,5,NESW,13.4112,-32.72
822,ref_1_SENW.csv,1,SENW,17.8816,401.79
842,ref_5_SWNE.csv,5,SWNE,13.4112,129.37
942,ref_5_NESW.csv,5,NESW,13.4112,-69.91
953,ref_5_SWNE.csv,5,SWNE,13.4112,129.33
101,ref_5_NWSE.csv,5,NWSE,22.352,323.48
111,ref_1_SWNE.csv,1,SWNE,24.5872,28.41
121,ref_5_NWSE.csv,5,NWSE,22.352,309.95
171,ref_1_SENW.csv,1,SENW,17.8816,59.48
