ref_file,intersection,approach,ff_speed,cum_dist
641,ref_5_NWSE.csv,5,NWSE,22.352,293.71
671,ref_1_SWNE.csv,1,SWNE,24.5872,74.04
691,ref_5_NWSE.csv,5,NWSE,22.352,258.52
791,ref_5_NESW.csv,5,NESW,13.4112,-69.91
832,ref_5_SWNE.csv,5,SWNE,13.4112,129.34
842,ref_5_NESW.csv,5,NESW,13.4112,-69.91
862,ref_5_SWNE.csv,5,SWNE,13.4112,126.64
882,ref_1_SENW.csv,1,SENW,17.8816,401.79
912,ref_5_SWNE.csv,5,SWNE,13.4112,112.98
1412,ref_1_SENW.csv,1,SENW,17.8816,406.0
1432,ref_5_SWNE.csv,5,SWNE,13.4112,118.43
81,ref_1_SENW.csv,1,SENW,17.8816,406.0
91,ref_5_SWNE.csv,5,SWNE,13.4112,118.43
251,ref_5_NWSE.csv,5,NWSE,22.352,-37.78
271,ref_5_SWNE.csv,5,SWNE,13.4112,-0.66
331,ref_5_SENW.csv,5,SENW,22.352,276.67
481,ref_4_EW.csv,4,EW,24.5872,279.08
501,ref_4_4218_NS.csv,4,NS,22.352,1137.65
696,ref_4_EW.csv,4,EW,24.5872,-32.37
706,ref_4_4218_WE.csv,4,WE,24.5872,16.33
726,ref_4_4218_NS.csv,4,NS,22.352,0.13
81,ref_1_SENW.csv,1,SENW,17.8816,35.35
91,ref_1_SWNE.csv,1,SWNE,24.5872,40.76
121,ref_1_SENW.csv,1,SENW,17.8816,35.35
131,ref_1_SWNE.csv,1,SWNE,24.5872,40.76
141,ref_1_SENW.csv,1,SENW,17.8816,35.35
151,ref_1_SWNE.csv,1,SWNE,24.5872,40.76
211,ref_5_NWSE.csv,5,NWSE,22.352,304.54
403,ref_5_SWNE.csv,5,SWNE,13.4112,104.84
846,ref_4_4218_NS.csv,4,NS,22.352,1191.06
746,ref_3_EW.csv,3,EW,24.5872,755.33
1167,ref_2_SN.csv,2,SN,24.5872,1565.62
1308,ref_1_SWNE.csv,1,SWNE,24.5872,1333.91
1508,ref_5_NWSE.csv,5,NWSE,22.352,361.38
1518,ref_1_SWNE.csv,1,SWNE,24.5872,3.21
1531,ref_5_NWSE.csv,5,NWSE,22.352,353.26
1783,ref_4_4218_NS.csv,4,NS,22.352,1193.64
720,ref_3_EW.csv,3,EW,24.5872,755.33
1330,ref_2_SN.csv,2,SN,24.5872,1598.04
1524,ref_1_SWNE.csv,1,SWNE,24.5872,1337.69
1838,ref_5_NWSE.csv,5,NWSE,22.352,358.68
2099,ref_4_4218_NS.csv,4,NS,22.352,1175.87
669,ref_3_EW.csv,3,EW,24.5872,753.9
914,ref_2_SN.csv,2,SN,24.5872,1593.35
1087,ref_1_SWNE.csv,1,SWNE,24.5872,1331.91
1319,ref_5_NWSE.csv,5,NWSE,22.352,358.66
351,ref_4_4218_NS.csv,4,NS,22.352,1109.37
657,ref_3_EW.csv,3,EW,24.5872,755.33
908,ref_2_SN.csv,2,SN,24.5872,1565.3
940,ref_1_SWNE.csv,1,SWNE,24.5872,18.27
331,ref_5_NWSE.csv,5,NWSE,22.352,312.66
575,ref_1_SENW.csv,1,SENW,17.8816,406.0
585,ref_5_SWNE.csv,5,SWNE,13.4112,23.13
811,ref_4_4218_NS.csv,4,NS,22.352,1123.05
1161,ref_3_EW.csv,3,EW,24.5872,695.75
1345,ref_2_SN.csv,2,SN,24.5872,1573.71
1572,ref_1_SWNE.csv,1,SWNE,24.5872,1331.95
1731,ref_5_NWSE.csv,5,NWSE,22.352,355.93
1926,ref_1_SWNE.csv,1,SWNE,24.5872,59.75
1946,ref_1_SENW.csv,1,SENW,17.8816,48.56
122,ref_5_NWSE.csv,5,NWSE,22.352,315.36
398,ref_1_SENW.csv,1,SENW,17.8816,406.0
408,ref_5_SWNE.csv,5,SWNE,13.4112,17.71
738,ref_4_4218_NS.csv,4,NS,22.352,1083.85
1149,ref_3_EW.csv,3,EW,24.5872,734.87
1331,ref_2_SN.csv,2,SN,24.5872,1592.74
1658,ref_1_SWNE.csv,1,SWNE,24.5872,1347.81
1874,ref_5_NWSE.csv,5,NWSE,22.352,361.37
2104,ref_1_SWNE.csv,1,SWNE,24.5872,66.47
494,ref_3_EW.csv,3,EW,24.5872,755.93
704,ref_2_SN.csv,2,SN,24.5872,1595.59
990,ref_1_SWNE.csv,1,SWNE,24.5872,1266.13
1153,ref_5_NWSE.csv,5,NWSE,22.352,347.9
1463,ref_4_4218_NS.csv,4,NS,22.352,1215.51
556,ref_3_EW.csv,3,EW,24.5872,742.88
785,ref_2_SN.csv,2,SN,24.5872,1597.56
983,ref_1_SWNE.csv,1,SWNE,24.5872,1195.27
1344,ref_5_NWSE.csv,5,NWSE,22.352,355.98
1578,ref_4_4218_NS.csv,4,NS,22.352,1215.45
542,ref_3_EW.csv,3,EW,24.5872,755.33
855,ref_2_SN.csv,2,SN,24.5872,1597.57
1028,ref_1_SWNE.csv,1,SWNE,24.5872,1347.81
1246,ref_5_NWSE.csv,5,NWSE,22.352,358.68
1530,ref_4_4218_NS.csv,4,NS,22.352,1212.16
637,ref_3_EW.csv,3,EW,24.5872,755.93
1005,ref_2_SN.csv,2,SN,24.5872,1575.92
1164,ref_1_SWNE.csv,1,SWNE,24.5872,1258.61
1334,ref_5_NWSE.csv,5,NWSE,22.352,350.59
1530,ref_1_SENW.csv,1,SENW,17.8816,314.33
617,ref_3_EW.csv,3,EW,24.5872,755.33
817,ref_2_SN.csv,2,SN,24.5872,1597.65
995,ref_1_SWNE.csv,1,SWNE,24.5872,1155.63
1144,ref_5_NWSE.csv,5,NWSE,22.352,355.97
1467,ref_4_4218_NS.csv,4,NS,22.352,1205.15
688,ref_3_EW.csv,3,EW,24.5872,755.33
1067,ref_2_SN.csv,2,SN,24.5872,1590.39
1229,ref_1_SWNE.csv,1,SWNE,24.5872,1138.34
1316,ref_5_NWSE.csv,5,NWSE,22.352,355.96
575,ref_4_4218_NS.csv,4,NS,22.352,1351.37
888,ref_3_EW.csv,3,EW,24.5872,752.83
1062,ref_2_SN.csv,2,SN,24.5872,1570.55
1275,ref_1_SWNE.csv,1,SWNE,24.5872,1248.07
1409,ref_5_NWSE.csv,5,NWSE,22.352,355.95
393,ref_1_SWNE.csv,1,SWNE,24.5872,1338.85
619,ref_5_NWSE.csv,5,NWSE,22.352,358.67
978,ref_1_SENW.csv,1,SENW,17.8816,406.0
988,ref_5_SWNE.csv,5,SWNE,13.4112,25.9
255,ref_3_EW.csv,3,EW,24.5872,653.91
393,ref_2_SN.csv,2,SN,24.5872,1580.81
719,ref_1_SWNE.csv,1,SWNE,24.5872,1347.81
213,ref_1_SWNE.csv,1,SWNE,24.5872,1343.45
356,ref_5_NWSE.csv,5,NWSE,22.352,356.01
837,ref_4_4218_NS.csv,4,NS,22.352,1217.66
1191,ref_3_EW.csv,3,EW,24.5872,677.4
1349,ref_2_SN.csv,2,SN,24.5872,1569.3
1532,ref_1_SWNE.csv,1,SWNE,24.5872,1301.16
1708,ref_5_NWSE.csv,5,NWSE,22.352,361.39
2082,ref_4_4218_NS.csv,4,NS,22.352,1208.67
2262,ref_3_EW.csv,3,EW,24.5872,526.01
2375,ref_2_SN.csv,2,SN,24.5872,1557.99
2505,ref_1_SWNE.csv,1,SWNE,24.5872,1340.46
2600,ref_5_NWSE.csv,5,NWSE,22.352,358.61
570,ref_4_NS.csv,4,NS,22.352,-3.52
786,ref_4_SN.csv,4,SN,13.4112,222.33
1481,ref_4_4218_SN.csv,4,SN,13.4112,-4.71
1822,ref_5_SENW.csv,5,SENW,22.352,263.11
490,ref_5_SENW.csv,5,SENW,22.352,263.09
536,ref_5_SENW.csv,5,SENW,22.352,273.86
683,ref_4_4218_NS.csv,4,NS,22.352,1206.25
1023,ref_4_SN.csv,4,SN,13.4112,229.58
1320,ref_5_SENW.csv,5,SENW,22.352,276.78
1416,ref_1_SENW.csv,1,SENW,17.8816,360.0
1459,ref_5_NESW.csv,5,NESW,13.4112,129.36
1661,ref_5_SENW.csv,5,SENW,22.352,276.23
1703,ref_1_SENW.csv,1,SENW,17.8816,364.52
1733,ref_5_NESW.csv,5,NESW,13.4112,123.93
2169,ref_5_SENW.csv,5,SENW,22.352,275.53
2284,ref_1_SENW.csv,1,SENW,17.8816,363.8
793,ref_4_4218_NS.csv,4,NS,22.352,1362.93
1118,ref_4_SN.csv,4,SN,13.4112,226.72
1440,ref_4_4218_NS.csv,4,NS,22.352,1222.88
1707,ref_3_EW.csv,3,EW,24.5872,710.54
1882,ref_2_SN.csv,2,SN,24.5872,1599.85
2198,ref_1_SWNE.csv,1,SWNE,24.5872,1325.3
626,ref_5_SWNE.csv,5,SWNE,13.4112,129.73
947,ref_5_SENW.csv,5,SENW,22.352,270.79
1041,ref_1_SENW.csv,1,SENW,17.8816,364.52
1211,ref_5_NESW.csv,5,NESW,13.4112,156.64
1390,ref_5_SWNE.csv,5,SWNE,13.4112,129.58
1677,ref_5_SENW.csv,5,SENW,22.352,273.92
1724,ref_1_SENW.csv,1,SENW,17.8816,364.52
1946,ref_5_NESW.csv,5,NESW,13.4112,178.42
2403,ref_5_SWNE.csv,5,SWNE,13.4112,129.35
3071,ref_5_SENW.csv,5,SENW,22.352,274.2
3172,ref_1_SENW.csv,1,SENW,17.8816,364.52
3349,ref_5_NESW.csv,5,NESW,13.4112,183.9
675,ref_5_SENW.csv,5,SENW,22.352,276.26
895,ref_5_NESW.csv,5,NESW,13.4112,170.57
392,ref_4_4218_SN.csv,4,SN,13.4112,-2.38
393,ref_4_SN.csv,4,SN,13.4112,-2.54
394,ref_4_4218_SN.csv,4,SN,13.4112,-4.41
395,ref_4_SN.csv,4,SN,13.4112,-4.65
760,ref_5_SENW.csv,5,SENW,22.352,266.01
931,ref_5_NESW.csv,5,NESW,13.4112,156.64
1275,ref_5_SWNE.csv,5,SWNE,13.4112,129.46
1937,ref_4_4218_NS.csv,4,NS,22.352,6.34
2139,ref_4_SN.csv,4,SN,13.4112,232.44
314,ref_4_4218_SN.csv,4,SN,13.4112,-2.86
629,ref_5_SENW.csv,5,SENW,22.352,276.67
854,ref_1_SENW.csv,1,SENW,17.8816,364.52
960,ref_5_NESW.csv,5,NESW,13.4112,162.08
87,ref_5_SENW.csv,5,SENW,22.352,20.2
602,ref_5_SENW.csv,5,SENW,22.352,268.75
714,ref_5_SWNE.csv,5,SWNE,13.4112,129.48
1013,ref_5_SENW.csv,5,SENW,22.352,276.81
500,ref_5_SWNE.csv,5,SWNE,13.4112,129.43
1031,ref_4_4218_NS.csv,4,NS,22.352,1135.88
1232,ref_4_SN.csv,4,SN,13.4112,233.85
1533,ref_4_4218_SN.csv,4,SN,13.4112,-2.62
1534,ref_4_SN.csv,4,SN,13.4112,-4.49
1709,ref_4_4218_NS.csv,4,NS,22.352,1364.73
2133,ref_4_SN.csv,4,SN,13.4112,235.26
2290,ref_4_4218_SN.csv,4,SN,13.4112,-2.22
2388,ref_4_4218_NS.csv,4,NS,22.352,1365.0
2667,ref_3_EW.csv,3,EW,24.5872,748.53
2822,ref_2_SN.csv,2,SN,24.5872,1570.81
3070,ref_1_SWNE.csv,1,SWNE,24.5872,1089.68
3268,ref_5_NWSE.csv,5,NWSE,22.352,347.87
3522,ref_5_SWNE.csv,5,SWNE,13.4112,129.37
3791,ref_5_SENW.csv,5,SENW,22.352,276.95
3853,ref_1_SENW.csv,1,SENW,17.8816,363.8
909,ref_5_SWNE.csv,5,SWNE,13.4112,129.37
1497,ref_4_4218_NS.csv,4,NS,22.352,1146.73
1678,ref_4_SN.csv,4,SN,13.4112,437.14
1779,ref_4_4218_SN.csv,4,SN,13.4112,-2.18
1780,ref_4_SN.csv,4,SN,13.4112,-2.56
1781,ref_4_4218_SN.csv,4,SN,13.4112,-2.97
1942,ref_4_4218_NS.csv,4,NS,22.352,1364.16
2363,ref_3_EW.csv,3,EW,24.5872,747.48
2733,ref_2_SN.csv,2,SN,24.5872,1568.09
2852,ref_1_SWNE.csv,1,SWNE,24.5872,1271.89
3116,ref_5_NWSE.csv,5,NWSE,22.352,347.84
3295,ref_5_SWNE.csv,5,SWNE,13.4112,123.75
3763,ref_5_SENW.csv,5,SENW,22.352,276.13
1173,ref_2_NS.csv,2,NS,24.5872,0.01
1383,ref_2_WE.csv,2,WE,24.5872,239.64
601,ref_2_NS.csv,2,NS,24.5872,-0.01
705,ref_2_NS.csv,2,NS,24.5872,0.75
715,ref_2_EW.csv,2,EW,24.5872,2.04
1073,ref_2_NS.csv,2,NS,24.5872,0.01
1293,ref_2_WE.csv,2,WE,24.5872,226.72
1543,ref_2_NS.csv,2,NS,24.5872,-0.01
1553,ref_2_WE.csv,2,WE,24.5872,10.5
1181,ref_1_SWNE.csv,1,SWNE,24.5872,1347.81
1380,ref_2_NS.csv,2,NS,24.5872,577.4
2040,ref_3_NS.csv,3,NS,24.5872,1213.31
2758,ref_3_WE.csv,3,WE,24.5872,373.86
3450,ref_4_WE.csv,4,WE,24.5872,1511.47
3992,ref_4_4218_WE.csv,4,WE,24.5872,-1.62
3993,ref_4_WE.csv,4,WE,24.5872,-4.49
486,ref_4_EW.csv,4,EW,24.5872,-3.72
487,ref_4_4218_EW.csv,4,EW,24.5872,-4.76
488,ref_4_EW.csv,4,EW,24.5872,-4.78
1036,ref_3_EW.csv,3,EW,24.5872,746.45
1760,ref_3_WE.csv,3,WE,24.5872,373.82
2172,ref_3_SN.csv,3,SN,24.5872,-4.12
2174,ref_3_WE.csv,3,WE,24.5872,-1.36
2189,ref_3_SN.csv,3,SN,24.5872,-4.89
2529,ref_2_SN.csv,2,SN,24.5872,1597.69
3109,ref_2_NS.csv,2,NS,24.5872,-0.01
1152,ref_2_EW.csv,2,EW,24.5872,503.8
1778,ref_2_NS.csv,2,NS,24.5872,0.01
1956,ref_2_WE.csv,2,WE,24.5872,226.67
2522,ref_1_SWNE.csv,1,SWNE,24.5872,1343.45
3079,ref_5_NWSE.csv,5,NWSE,22.352,353.21
3439,ref_5_NESW.csv,5,NESW,13.4112,142.98
1216,ref_2_WE.csv,2,WE,24.5872,224.55
1734,ref_2_EW.csv,2,EW,24.5872,503.81
2469,ref_2_NS.csv,2,NS,24.5872,-0.03
1088,ref_2_SN.csv,2,SN,24.5872,0.14
1099,ref_2_NS.csv,2,NS,24.5872,-0.01
1459,ref_3_NS.csv,3,NS,24.5872,1188.98
2719,ref_4_WE.csv,4,WE,24.5872,1511.49
1316,ref_4_4218_WE.csv,4,WE,24.5872,-1.55
1317,ref_4_WE.csv,4,WE,24.5872,-1.66
1318,ref_4_4218_WE.csv,4,WE,24.5872,-1.84
1319,ref_4_WE.csv,4,WE,24.5872,-1.97
1320,ref_4_4218_WE.csv,4,WE,24.5872,-2.09
1321,ref_4_WE.csv,4,WE,24.5872,-4.05
1322,ref_4_4218_WE.csv,4,WE,24.5872,-4.11
1323,ref_4_WE.csv,4,WE,24.5872,-4.2
1324,ref_4_4218_WE.csv,4,WE,24.5872,-4.36
1325,ref_4_WE.csv,4,WE,24.5872,-4.55
1326,ref_4_4218_WE.csv,4,WE,24.5872,-4.72
1327,ref_4_WE.csv,4,WE,24.5872,-4.88
1328,ref_4_4218_WE.csv,4,WE,24.5872,-4.97
1704,ref_4_4218_EW.csv,4,EW,24.5872,531.11
2149,ref_4_EW.csv,4,EW,24.5872,-1.67
2150,ref_4_4218_EW.csv,4,EW,24.5872,-3.7
2151,ref_4_EW.csv,4,EW,24.5872,-3.71
2152,ref_4_4218_EW.csv,4,EW,24.5872,-4.24
2153,ref_4_EW.csv,4,EW,24.5872,-4.24
2154,ref_4_4218_EW.csv,4,EW,24.5872,-4.76
2155,ref_4_EW.csv,4,EW,24.5872,-4.77
2156,ref_4_4218_EW.csv,4,EW,24.5872,-4.78
2157,ref_4_EW.csv,4,EW,24.5872,-4.78
2158,ref_4_4218_EW.csv,4,EW,24.5872,-4.78
2719,ref_3_EW.csv,3,EW,24.5872,749.49
3318,ref_2_SN.csv,2,SN,24.5872,1597.76
4072,ref_1_SWNE.csv,1,SWNE,24.5872,1342.6
4604,ref_5_NWSE.csv,5,NWSE,22.352,350.53
4860,ref_1_SENW.csv,1,SENW,17.8816,360.0
